"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will create a new employee","FAILURE","2022-06-21T22:12:21.038+01:00[Europe/London]","0.0","5.41"
"Dummy rest APICURD test","This will Update an employee by ID","FAILURE","2022-06-21T22:12:27.585+01:00[Europe/London]","0.0","0.86"
"Dummy rest APICURD test","This will Delete an employee by ID","FAILURE","2022-06-21T22:12:28.455+01:00[Europe/London]","0.0","0.89"
"Dummy rest APICURD test","1. Verify if total records are 24","ERROR","2022-06-21T22:12:29.346+01:00[Europe/London]","0.0","0.85"
"Dummy rest APICURD test","2. Verify if 24th Data id is 24","ERROR","2022-06-21T22:12:30.199+01:00[Europe/London]","0.0","0.99"
"Dummy rest APICURD test","3. Verify if 9th employee name is Colleen Hurst","ERROR","2022-06-21T22:12:31.184+01:00[Europe/London]","0.0","1.03"
"Dummy rest APICURD test","4. Verify if message is Successfully! All records has been fetched","ERROR","2022-06-21T22:12:32.218+01:00[Europe/London]","0.0","0.95"
"Dummy rest APICURD test","5. Verify if status is success","ERROR","2022-06-21T22:12:33.164+01:00[Europe/London]","0.0","1.0"
"Dummy rest APICURD test","6. Verify 4th id salary is 433060","ERROR","2022-06-21T22:12:34.169+01:00[Europe/London]","0.0","0.86"
"As a user I would like to check CRUD operation of the application","I want to read a new employee","FAILURE","2022-06-21T22:12:27.350+01:00[Europe/London]","0.0","2.03"
"As a user I would like to check CRUD operation of the application","I want to update a newly created employee","FAILURE","2022-06-21T22:12:29.476+01:00[Europe/London]","0.0","0.9"
"As a user I would like to check CRUD operation of the application","I want to delete a newly created employee","FAILURE","2022-06-21T22:12:30.412+01:00[Europe/London]","0.0","0.89"
